Date,Time,Curve,Qflag,Site,Leaf Age,Chl a+b,Na,Pa,SLA,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,Press
2001/11/14,9:35,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,17.63333333,0.410166667,257.5,2.3,0.550666667,6,1,2.84,16.64666667,17.505,16.69333333,360.1333333,338.0333333,13.94216667,16.6565,64.15333333,76.64333333,500.2833333,1499.5,87.485
2001/11/14,9:38,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,10.58833333,0.398333333,139.1666667,2.305,0.566166667,6,1,2.84,16.88833333,17.74166667,16.93666667,201.5333333,188.35,14.0995,16.8195,63.89,76.215,500.0666667,1500.166667,87.49166667
2001/11/14,9:40,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,4.193333333,0.4015,75.5,2.385,0.5815,6,1,2.84,17.23166667,18.05333333,17.31833333,100.4166667,95.15,14.29233333,17.10833333,63.37,75.86,499.9833333,1499.666667,87.49
2001/11/14,9:42,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,0.680833333,0.403666667,45.61666667,2.541666667,0.615833333,6,1,2.84,17.78,18.59166667,17.885,50.15,49.2,14.53416667,17.52916667,62.24666667,75.075,500.1166667,1499.166667,87.49833333
2001/11/14,9:44,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,-2.808333333,0.4025,17.95,2.653333333,0.644333333,6,1,2.84,18.31333333,19.08833333,18.425,2.233333333,5.6,14.85683333,17.982,61.53833333,74.48333333,500.3,1499,87.495
2001/11/14,9:48,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,21.71666667,0.383333333,269.3333333,2.543333333,0.644833333,6,1,2.84,18.65666667,19.265,18.845,401.4333333,374.2666667,15.25616667,18.25133333,61.845,73.99,500.4333333,1500,87.5
2001/11/14,9:50,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,33.01666667,0.375166667,596.5,2.478333333,0.639333333,6,1,2.84,18.825,19.385,19.01833333,802.7833333,760.9,15.58766667,18.50483333,62.535,74.23833333,500.1166667,1499.666667,87.50833333
2001/11/14,9:52,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,34.81666667,0.373833333,779.5,2.456666667,0.635666667,6,1,2.84,18.97166667,19.53333333,19.16833333,1000.016667,955.4,15.89233333,18.78383333,63.175,74.67,500.1,1499.833333,87.505
2001/11/14,9:54,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,36.85,0.370166667,966.1666667,2.43,0.634666667,6,1,2.84,19.16333333,19.68666667,19.345,1202.933333,1155.4,16.1855,19.04533333,63.575,74.80666667,500.2666667,1500.666667,87.50833333
2001/11/14,9:56,1,1,2,0,434.0988776,2.429077976,0.194451524,5.169,32.15,0.345166667,981.3333333,2.126666667,0.590666667,6,1,2.84,19.26666667,19.31666667,19.49,1199.083333,1157.616667,16.4565,18.95616667,64.23,73.98666667,500.4333333,999.3333333,87.51
